"","Western_Conference","W","L","W/L_percent","GB","PS/G","PA/G","SRS","Year"
"152","Memphis Grizzlies","22","60",".268","34.0","100.7","106.9","-5.76",2008
"153","Northwest Division","Northwest Division","Northwest Division","Northwest Division","Northwest Division","Northwest Division","Northwest Division","Northwest Division",2009
"154","Denver Nuggets*","54","28",".659","—","104.3","100.9","3.13",2009
"155","Portland Trail Blazers*","54","28",".659","—","99.4","94.1","5.00",2009
"156","Utah Jazz*","48","34",".585","6.0","103.6","100.9","2.31",2009
"157","Minnesota Timberwolves","24","58",".293","30.0","97.8","102.7","-4.74",2009
"158","Oklahoma City Thunder","23","59",".280","31.0","97.0","103.1","-6.04",2009
"159","Pacific Division","Pacific Division","Pacific Division","Pacific Division","Pacific Division","Pacific Division","Pacific Division","Pacific Division",2009
"160","Los Angeles Lakers*","65","17",".793","—","106.9","99.3","7.11",2009
"161","Phoenix Suns","46","36",".561","19.0","109.4","107.5","1.62",2009
"162","Golden State Warriors","29","53",".354","36.0","108.6","112.3","-3.80",2009
"163","Los Angeles Clippers","19","63",".232","46.0","95.1","103.9","-8.47",2009
"164","Sacramento Kings","17","65",".207","48.0","100.6","109.3","-8.60",2009
"165","Southwest Division","Southwest Division","Southwest Division","Southwest Division","Southwest Division","Southwest Division","Southwest Division","Southwest Division",2009
"166","San Antonio Spurs*","54","28",".659","—","97.0","93.3","3.36",2009
"167","Houston Rockets*","53","29",".646","1.0","98.4","94.4","3.73",2009
"168","Dallas Mavericks*","50","32",".610","4.0","101.7","99.8","1.68",2009
"169","New Orleans Hornets*","49","33",".598","5.0","95.8","94.3","1.41",2009
"170","Memphis Grizzlies","24","58",".293","30.0","93.9","99.3","-5.23",2009
"171","Northwest Division","Northwest Division","Northwest Division","Northwest Division","Northwest Division","Northwest Division","Northwest Division","Northwest Division",2010
"172","Denver Nuggets*","53","29",".646","—","106.5","102.4","4.15",2010
"173","Utah Jazz*","53","29",".646","—","104.2","98.9","5.33",2010
"174","Portland Trail Blazers*","50","32",".610","3.0","98.1","94.8","3.18",2010
"175","Oklahoma City Thunder*","50","32",".610","3.0","101.5","98.0","3.55",2010
"176","Minnesota Timberwolves","15","67",".183","38.0","98.2","107.8","-9.06",2010
"177","Pacific Division","Pacific Division","Pacific Division","Pacific Division","Pacific Division","Pacific Division","Pacific Division","Pacific Division",2010
"178","Los Angeles Lakers*","57","25",".695","—","101.7","97.0","4.78",2010
"179","Phoenix Suns*","54","28",".659","3.0","110.2","105.3","4.67",2010
"180","Los Angeles Clippers","29","53",".354","28.0","95.7","102.1","-6.01",2010
"181","Golden State Warriors","26","56",".317","31.0","108.8","112.4","-3.28",2010
"182","Sacramento Kings","25","57",".305","32.0","100.0","104.4","-4.06",2010
"183","Southwest Division","Southwest Division","Southwest Division","Southwest Division","Southwest Division","Southwest Division","Southwest Division","Southwest Division",2010
"184","Dallas Mavericks*","55","27",".671","—","102.0","99.3","2.66",2010
"185","San Antonio Spurs*","50","32",".610","5.0","101.4","96.3","5.07",2010
"186","Houston Rockets","42","40",".512","13.0","102.4","102.7","-0.02",2010
"187","Memphis Grizzlies","40","42",".488","15.0","102.5","104.0","-1.39",2010
"188","New Orleans Hornets","37","45",".451","18.0","100.2","102.7","-2.27",2010
"189","Northwest Division","Northwest Division","Northwest Division","Northwest Division","Northwest Division","Northwest Division","Northwest Division","Northwest Division",2011
"190","Oklahoma City Thunder*","55","27",".671","—","104.8","101.0","3.81",2011
"191","Denver Nuggets*","50","32",".610","5.0","107.5","102.7","4.81",2011
"192","Portland Trail Blazers*","48","34",".585","7.0","96.3","94.8","1.85",2011
"193","Utah Jazz","39","43",".476","16.0","99.4","101.3","-1.44",2011
"194","Minnesota Timberwolves","17","65",".207","38.0","101.1","107.7","-5.97",2011
"195","Pacific Division","Pacific Division","Pacific Division","Pacific Division","Pacific Division","Pacific Division","Pacific Division","Pacific Division",2011
"196","Los Angeles Lakers*","57","25",".695","—","101.5","95.4","6.01",2011
"197","Phoenix Suns","40","42",".488","17.0","105.0","105.9","-0.46",2011
"198","Golden State Warriors","36","46",".439","21.0","103.4","105.7","-2.00",2011
"199","Los Angeles Clippers","32","50",".390","25.0","98.6","101.8","-2.71",2011
"200","Sacramento Kings","24","58",".293","33.0","99.4","104.7","-4.80",2011
"201","Southwest Division","Southwest Division","Southwest Division","Southwest Division","Southwest Division","Southwest Division","Southwest Division","Southwest Division",2011
"202","San Antonio Spurs*","61","21",".744","—","103.7","98.0","5.86",2011
"203","Dallas Mavericks*","57","25",".695","4.0","100.2","96.0","4.41",2011
"204","New Orleans Hornets*","46","36",".561","15.0","94.9","94.0","1.28",2011
"205","Memphis Grizzlies*","46","36",".561","15.0","99.9","97.6","2.55",2011
"206","Houston Rockets","43","39",".524","18.0","105.9","103.7","2.37",2011
"207","Northwest Division","Northwest Division","Northwest Division","Northwest Division","Northwest Division","Northwest Division","Northwest Division","Northwest Division",2012
"208","Oklahoma City Thunder*","47","19",".712","—","103.1","96.9","6.44",2012
"209","Denver Nuggets*","38","28",".576","9.0","104.1","101.2","3.16",2012
"210","Utah Jazz*","36","30",".545","11.0","99.7","99.0","0.92",2012
